"time","candidate","score"
"2022-08-10T16:05:18.196","(d=0, props={}|{}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={0, 1, 2, 3, 4, 5, 6};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","0.0"
"2022-08-10T16:05:18.218","(d=1, props={}|{☐}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={0, 1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","1.0"
"2022-08-10T16:05:18.218","(d=1, props={}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={0, 1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","1.0"
"2022-08-10T16:05:18.218","(d=1, props={}|{pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={0, 1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","1.0"
"2022-08-10T16:05:18.218","(d=1, props={}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={0, 1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","1.0"
"2022-08-10T16:05:18.218","(d=1, props={}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={0, 1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","1.0"
"2022-08-10T16:05:18.218","(d=1, props={}|{send invoice}, state=PlaceState{actualPresetExpansions={0, 1}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","1.0"
"2022-08-10T16:05:18.218","(d=1, props={}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={0, 1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","1.0"
"2022-08-10T16:05:18.218","(d=2, props={▷}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={6}})","2.0"
"2022-08-10T16:05:18.218","(d=2, props={place order}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={6}})","2.0"
"2022-08-10T16:05:18.234","(d=2, props={send invoice}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={6}})","2.0"
