"time","place","change","queue.size delta"
"2022-08-05T10:25:44.434","{}|{}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.434","{}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.435","{}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.435","{}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.437","{}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.437","{}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.437","{}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.437","{}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.438","{}|{}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.438","{▷}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.438","{place order}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.453","{send invoice}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.454","{send reminder}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.454","{cancel order}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.455","{pay}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.455","{make delivery}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.455","{}|{place order}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.455","{▷}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.456","{place order}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.457","{send invoice}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.457","{send reminder}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.458","{cancel order}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.458","{pay}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.459","{make delivery}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.459","{}|{☐}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.459","{▷}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.460","{place order}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.460","{send invoice}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.461","{send reminder}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.461","{cancel order}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.461","{pay}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.462","{make delivery}|{pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.462","{}|{pay}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.462","{▷}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.462","{place order}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.463","{send invoice}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.463","{send reminder}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.464","{cancel order}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.464","{pay}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.464","{make delivery}|{cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.465","{}|{cancel order}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.465","{▷}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.465","{place order}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.466","{send invoice}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.466","{send reminder}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.466","{cancel order}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.467","{pay}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.467","{make delivery}|{make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.467","{}|{make delivery}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.468","{▷}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.468","{place order}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.468","{send invoice}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.468","{send reminder}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.469","{cancel order}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.469","{pay}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.469","{make delivery}|{send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.470","{}|{send reminder}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.470","{▷}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.470","{place order}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.471","{send invoice}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.471","{send reminder}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.471","{cancel order}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.472","{pay}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.472","{make delivery}|{send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.472","{}|{send invoice}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.473","{make delivery}|{send invoice, place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.473","{make delivery}|{send invoice}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.473","{make delivery}|{pay, cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.473","{make delivery}|{pay, send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.474","{make delivery}|{pay, send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.474","{make delivery}|{pay, place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.474","{make delivery}|{pay}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.474","{make delivery}|{place order}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.474","{▷, place order}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.475","{▷, send invoice}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.475","{▷, send reminder}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.475","{▷, cancel order}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.475","{▷, pay}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.476","{▷, make delivery}|{place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.476","{▷}|{place order}","DequeueNodeEvent","-1"
"2022-08-05T10:25:44.476","{send invoice}|{☐, make delivery}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.476","{send invoice}|{☐, pay}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.477","{send invoice}|{☐, cancel order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.477","{send invoice}|{☐, send reminder}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.477","{send invoice}|{☐, send invoice}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.477","{send invoice}|{☐, place order}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.478","{send invoice, send reminder}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.478","{send invoice, cancel order}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.478","{send invoice, pay}|{☐}","EnqueueNodeEvent","1"
"2022-08-05T10:25:44.479","{send invoice, make delivery}|{☐}","EnqueueNodeEvent","1"
