"time","place","change","tree.leaves.count delta"
"2022-08-09T16:56:25.528","{}|{}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{}","LeafRemovalEvent","-1"
"2022-08-09T16:56:25.528","{}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{make delivery}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{cancel order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{send reminder}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{place order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.528","{}|{send invoice}","LeafRemovalEvent","-1"
"2022-08-09T16:56:25.543","{▷}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.543","{place order}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.550","{send invoice}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.550","{send reminder}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.550","{cancel order}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.550","{pay}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.550","{make delivery}|{send invoice}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.565","{}|{☐}","LeafRemovalEvent","-1"
"2022-08-09T16:56:25.566","{▷}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{place order}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{send invoice}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{send reminder}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{cancel order}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{pay}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{make delivery}|{☐}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{}|{pay}","LeafRemovalEvent","-1"
"2022-08-09T16:56:25.566","{▷}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{place order}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{send invoice}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{send reminder}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{cancel order}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{pay}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{make delivery}|{pay}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{}|{cancel order}","LeafRemovalEvent","-1"
"2022-08-09T16:56:25.566","{▷}|{cancel order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{place order}|{cancel order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{send invoice}|{cancel order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{send reminder}|{cancel order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{cancel order}|{cancel order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{pay}|{cancel order}","LeafAdditionEvent","1"
"2022-08-09T16:56:25.566","{make delivery}|{cancel order}","LeafAdditionEvent","1"
